id,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre
229,2011,Bloodlines,Richelle Mead,en-US,Intermediate,4.22,140599,genre fiction
230,1998,Ender's Shadow,Orson Scott Card,eng,Intermediate,4.3,115521,nonfiction
231,2009,Twenties Girl,Sophie Kinsella,eng,Intermediate,3.82,119105,genre fiction
232,1982,Schindler's Ark,Thomas Keneally,eng,Intermediate,4.34,108338,genre fiction
233,1970,The Bluest Eye,Toni Morrison,eng,Intermediate,3.99,109944,genre fiction
234,2009,The White Queen,Philippa Gregory,eng,Intermediate,3.9,119739,genre fiction
235,1965,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",eng,Intermediate,4.29,124805,nonfiction
236,1989,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",eng,Intermediate,4.3,122540,nonfiction
237,1999,Seabiscuit,Laura Hillenbrand,en-US,Intermediate,4.2,111497,genre fiction
238,2003,Shutter Island,Dennis Lehane,eng,Intermediate,4.07,113718,genre fiction
239,1894,The Complete Sherlock Holmes,Arthur Conan Doyle,eng,Famous,4.5,109754,genre fiction
240,1599,The Tragedy of Julius Caesar,"William Shakespeare, Roma Gill",eng,Intermediate,3.65,119933,genre fiction
241,2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,eng,Intermediate,3.81,110481,genre fiction
242,-380,Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,"Plato, Desmond Lee",eng,Intermediate,3.9,110274,genre fiction
243,1593,The Taming of the Shrew,William Shakespeare,en-US,Intermediate,3.81,126318,nonfiction
244,2014,Cress,Marissa Meyer,eng,Famous,4.46,162069,nonfiction
245,2010,Just Kids,Patti Smith,en-US,Intermediate,4.14,106542,genre fiction
246,1997,,Phaidon Press,eng,Intermediate,3.79,102746,genre fiction
247,2001,Jemima J,Jane Green,en-US,Intermediate,3.62,101436,genre fiction
248,1831,Notre-Dame de Paris,"Victor Hugo, Walter J. Cobb",eng,Intermediate,3.97,119851,nonfiction
249,1996,A Fine Balance,Rohinton Mistry,eng,Intermediate,4.34,99252,genre fiction
250,1987,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",en-US,Famous,4.61,117788,nonfiction
251,2006,Specials,Scott Westerfeld,eng,Intermediate,3.77,139168,genre fiction
252,1899,The Awakening,Kate Chopin,eng,Intermediate,3.63,125474,genre fiction
253,2009,Hunted,"P.C. Cast, Kristin Cast",eng,Intermediate,3.93,138103,genre fiction
254,2006,For One More Day,Mitch Albom,en-US,Intermediate,4.09,102193,genre fiction
255,1989,Clear and Present Danger,Tom Clancy,eng,Intermediate,4.08,105317,genre fiction
256,1996,Falling Up,Shel Silverstein,en-US,Intermediate,4.33,111779,genre fiction
257,2010,Sh*t My Dad Says,Justin Halpern,,Intermediate,3.98,102560,nonfiction
258,1993,Trainspotting,"Irvine Welsh, Eric Lindor Fall",fre,Intermediate,4.07,59453,genre fiction
259,1952,Foundation and Empire,Isaac Asimov,eng,Intermediate,4.2,105595,genre fiction
260,1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",Miguel Ruiz,,Intermediate,4.12,97016,genre fiction
261,2010,House Rules,Jodi Picoult,en-US,Intermediate,4.01,111239,nonfiction
262,1812,BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",eng,Intermediate,4.31,116324,genre fiction
263,1967,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,eng,Intermediate,4.15,134537,genre fiction
264,2013,Doctor Sleep,Stephen King,eng,Intermediate,4.1,95276,genre fiction
265,1998,About a Boy,Nick Hornby,en-US,Intermediate,3.79,101999,genre fiction
266,2012,On Dublin Street,Samantha Young,eng,Intermediate,4.24,136761,nonfiction
267,2008,Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",eng,Intermediate,4.15,106351,genre fiction
268,1960,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,,Intermediate,4.12,117582,nonfiction
